Symbol,Signal,Timestamp,M5,M15,M30,H1,H4,D1,W1,MN1
AUDNZD,EMA21,2022-11-11 20:34:36,-1,1,1,1,1,-1,-1,1
AUDNZD,EMA50,2022-11-11 20:34:36,-X,1,1,1,1,-1,X,1
AUDNZD,EMA100,2022-11-11 20:34:36,1,1,1,1,1,-1,1,1
AUDNZD,EMA200,2022-11-11 20:34:36,1,1,1,1,-1,X,1,-1
AUDNZD,SignalX,2022-11-11 20:34:36,,,,-4,-3,,,
AUDNZD,3LP,2022-11-11 20:34:36,,,,,1,-1,-1,
AUDNZD,3LS,2022-11-11 20:34:36,,,,,,,,
AUDNZD,Fractals,2022-11-11 20:34:37,,-1,,,,,,-1
AUDUSD,EMA21,2022-11-11 20:34:37,-X,1,1,1,1,1,-1,-1
AUDUSD,EMA50,2022-11-11 20:34:37,1,1,1,1,1,1,-1,-1
AUDUSD,EMA100,2022-11-11 20:34:37,1,1,1,1,1,-1,-1,-1
AUDUSD,EMA200,2022-11-11 20:34:37,1,1,1,1,1,-1,-1,-1
AUDUSD,SignalX,2022-11-11 20:34:37,,,,,-4,-2,,
AUDUSD,3LP,2022-11-11 20:34:37,,,,,-1,1,X,
AUDUSD,3LS,2022-11-11 20:34:37,,,,,,,,1
AUDUSD,Fractals,2022-11-11 20:34:38,,,-1,,,,,
CADJPY,EMA21,2022-11-11 20:34:38,-1,-1,-1,-1,-1,-1,1,1
CADJPY,EMA50,2022-11-11 20:34:38,-1,-1,-1,-1,-1,-1,1,1
CADJPY,EMA100,2022-11-11 20:34:38,-1,-1,-1,-1,-1,-1,1,1
CADJPY,EMA200,2022-11-11 20:34:38,-1,-1,-1,-1,-1,1,1,1
CADJPY,SignalX,2022-11-11 20:34:38,4,3,1,,,,,
CADJPY,3LP,2022-11-11 20:34:38,,,,,1,-1,X,
CADJPY,3LS,2022-11-11 20:34:39,,,,,,,-1,
CADJPY,Fractals,2022-11-11 20:34:39,,,,,,,,-1
CHFJPY,EMA21,2022-11-11 20:34:39,-1,-1,-1,-1,-1,-1,1,1
CHFJPY,EMA50,2022-11-11 20:34:39,-1,-1,-1,-1,-1,-1,1,1
CHFJPY,EMA100,2022-11-11 20:34:39,-1,-1,-1,-1,-1,1,1,1
CHFJPY,EMA200,2022-11-11 20:34:39,-1,-1,-1,-1,-1,1,1,1
CHFJPY,SignalX,2022-11-11 20:34:39,4,2,,,,,,
CHFJPY,3LP,2022-11-11 20:34:39,,,,,1,-1,-1,
CHFJPY,3LS,2022-11-11 20:34:40,,,,,,,,-1
CHFJPY,Fractals,2022-11-11 20:34:40,,,,-1,,-1,,-1
EURAUD,EMA21,2022-11-11 20:34:40,X,X,-1,-1,-1,-1,1,-X
EURAUD,EMA50,2022-11-11 20:34:40,X,-1,-1,-1,-1,1,1,-1
EURAUD,EMA100,2022-11-11 20:34:40,-1,-1,-1,-1,-1,1,-1,-1
EURAUD,EMA200,2022-11-11 20:34:40,-1,-1,-1,-1,1,1,-1,-1
EURAUD,SignalX,2022-11-11 20:34:40,,,,,,,,
EURAUD,3LP,2022-11-11 20:34:40,,,,,1,-1,-1,
EURAUD,3LS,2022-11-11 20:34:41,,,,,,,,
EURAUD,Fractals,2022-11-11 20:34:41,1,1,-1,,,,-1,
EURCAD,EMA21,2022-11-11 20:34:41,1,1,1,1,1,1,X,-1
EURCAD,EMA50,2022-11-11 20:34:41,1,1,1,1,1,1,-1,-1
